cookie-consent.menu-item.label;"Consentement aux témoins"
cookie-consent.modal.consent.accept-all;"Tout accepter"
cookie-consent.modal.consent.accept-necessary;"Accepter le nécessaire"
cookie-consent.modal.consent.show-preferences;"Préférences"
cookie-consent.modal.close-icon-label;"Fermer la modal"
cookie-consent.modal.preferences.accept-all;"Tout Accepter"
cookie-consent.modal.preferences.accept-necessary;"Accepter le nécessaire"
cookie-consent.modal.preferences.save-preferences;"Enregistrer mes préférences"
cookie-consent.cookie-table.header.name;"Nom"
cookie-consent.cookie-table.header.service;"Service"
cookie-consent.cookie-table.header.purpose;"Usage"
cookie-consent.cookie-table.header.duration;"Durée"

